epoch,lr,step,train_loss,val_loss
0,9.999999747378752e-06,0,,
0,1.0289093552273698e-05,1,,
0,1.0578186447673943e-05,2,,
0,1.086728025256889e-05,3,,
0,1.1156373147969134e-05,4,,
0,1.1445466043369379e-05,5,,
0,1.1734559848264325e-05,6,,
0,1.202365274366457e-05,7,,
0,1.2312746548559517e-05,8,,
0,1.2601839443959761e-05,9,,
0,1.2890933248854708e-05,10,,
0,1.3180026144254953e-05,11,,
0,1.34691199491499e-05,12,,
0,1.3758212844550144e-05,13,,
0,1.4047305739950389e-05,14,,
0,1.4336399544845335e-05,15,,
0,1.462549244024558e-05,16,,
0,1.4914586245140526e-05,17,,
0,1.5203679140540771e-05,18,,
0,1.5492772945435718e-05,19,,
0,1.5781866750330664e-05,20,,
0,1.6070958736236207e-05,21,,
0,1.6360052541131154e-05,22,,
0,1.66491463460261e-05,23,,
0,1.6938238331931643e-05,24,,
0,1.722733213682659e-05,25,,
0,1.7516425941721536e-05,26,,
0,1.7805519746616483e-05,27,,
0,1.8094611732522026e-05,28,,
0,1.8383705537416972e-05,29,,
0,1.867279934231192e-05,30,,
0,1.8961893147206865e-05,31,,
0,1.9250985133112408e-05,32,,
0,1.9540078938007355e-05,33,,
0,1.98291727429023e-05,34,,
0,2.0118264728807844e-05,35,,
0,2.040735853370279e-05,36,,
0,2.0696452338597737e-05,37,,
0,2.0985546143492684e-05,38,,
0,2.1274638129398227e-05,39,,
0,2.1563731934293173e-05,40,,
0,2.185282573918812e-05,41,,
0,2.2141917725093663e-05,42,,
0,2.243101152998861e-05,43,,
0,2.2720105334883556e-05,44,,
0,2.3009199139778502e-05,45,,
0,2.3298291125684045e-05,46,,
0,2.3587384930578992e-05,47,,
0,2.3876478735473938e-05,48,,
0,2.416557072137948e-05,49,,
0,2.4454664526274428e-05,50,,
0,2.4743758331169374e-05,51,,
0,2.503285213606432e-05,52,,
0,2.5321944121969864e-05,53,,
0,2.561103792686481e-05,54,,
0,2.5900131731759757e-05,55,,
0,2.6189225536654703e-05,56,,
0,2.6478317522560246e-05,57,,
0,2.6767411327455193e-05,58,,
0,2.705650513235014e-05,59,,
0,2.7345597118255682e-05,60,,
0,2.763469092315063e-05,61,,
0,2.7923784728045575e-05,62,,
0,2.8212878532940522e-05,63,,
0,2.8501970518846065e-05,64,,
0,2.879106432374101e-05,65,,
0,2.9080158128635958e-05,66,,
0,2.93692501145415e-05,67,,
0,2.9658343919436447e-05,68,,
0,2.9947437724331394e-05,69,,
0,3.023653152922634e-05,70,,
0,3.052562533412129e-05,71,,
0,3.081471732002683e-05,72,,
0,3.110380930593237e-05,73,,
0,3.139290492981672e-05,74,,
0,3.1681996915722266e-05,75,,
0,3.197108890162781e-05,76,,
0,3.226018452551216e-05,77,,
0,3.25492765114177e-05,78,,
0,3.283837213530205e-05,79,,
0,3.3127464121207595e-05,80,,
0,3.341655610711314e-05,81,,
0,3.370565173099749e-05,82,,
0,3.399474371690303e-05,83,,
0,3.4283835702808574e-05,84,,
0,3.4572931326692924e-05,85,,
0,3.486202331259847e-05,86,,
0,3.515111529850401e-05,87,,
0,3.544021092238836e-05,88,,
0,3.57293029082939e-05,89,,
0,3.601839853217825e-05,90,,
0,3.6307490518083796e-05,91,,
0,3.659658250398934e-05,92,,
0,3.688567812787369e-05,93,,
0,3.717477011377923e-05,94,,
0,3.7463862099684775e-05,95,,
0,3.7752957723569125e-05,96,,
0,3.804204970947467e-05,97,,
0,3.833114169538021e-05,98,,
0,3.862023731926456e-05,99,,
0,3.8909329305170104e-05,100,,
0,3.9198424929054454e-05,101,,
0,3.948751691496e-05,102,,
0,3.977660890086554e-05,103,,
0,4.006570452474989e-05,104,,
0,4.035479651065543e-05,105,,
0,4.0643888496560976e-05,106,,
0,4.0932984120445326e-05,107,,
0,4.122207610635087e-05,108,,
0,4.151116809225641e-05,109,,
0,4.180026371614076e-05,110,,
0,4.2089355702046305e-05,111,,
0,4.237844768795185e-05,112,,
0,4.26675433118362e-05,113,,
0,4.295663529774174e-05,114,,
0,4.324573092162609e-05,115,,
0,4.3534822907531634e-05,116,,
0,4.382391489343718e-05,117,,
0,4.411301051732153e-05,118,,
0,4.440210250322707e-05,119,,
0,4.469119448913261e-05,120,,
0,4.498029011301696e-05,121,,
0,4.5269382098922506e-05,122,,
0,4.555847408482805e-05,123,,
0,4.58475697087124e-05,124,,
0,4.613666169461794e-05,125,,
0,4.642575731850229e-05,126,,
0,4.6714849304407835e-05,127,,
0,4.700394129031338e-05,128,,
0,4.729303691419773e-05,129,,
0,4.758212890010327e-05,130,,
0,4.7871220886008814e-05,131,,
0,4.8160316509893164e-05,132,,
0,4.844940849579871e-05,133,,
0,4.873850048170425e-05,134,,
